job_title,total_jobs,avg_salary,overall_avg,diff_from_market,pct_above_market
Chief Data Officer,27,235881.0,106354.0,129527.0,121.8
Data Science Manager,37,162891.0,106354.0,56537.0,53.2
Senior Data Scientist,26,146130.0,106354.0,39776.0,37.4
Data Architect,34,130372.0,106354.0,24018.0,22.6
Machine Learning Engineer,31,129130.0,106354.0,22776.0,21.4
Senior Data Engineer,36,125900.0,106354.0,19546.0,18.4
Quantitative Analyst,35,120839.0,106354.0,14485.0,13.6
Data Scientist,49,107361.0,106354.0,1007.0,0.9
